2024-11-07 20:41:26,421 - Conexión ESTABLISHED desde addr(ip='2803:c600:411a:ced0:b9c2:6ef:1981:3ed1', port=49795) hacia addr(ip='2600:1901:1:a8::', port=443)
2024-11-07 20:41:26,421 - Conexión ESTABLISHED desde addr(ip='2803:c600:411a:ced0:b9c2:6ef:1981:3ed1', port=49795) hacia addr(ip='2600:1901:1:a8::', port=443)
2024-11-07 20:41:26,421 - Conexión ESTABLISHED desde addr(ip='2803:c600:411a:ced0:b9c2:6ef:1981:3ed1', port=49795) hacia addr(ip='2600:1901:1:a8::', port=443)
2024-11-07 20:41:26,421 - Conexión ESTABLISHED desde addr(ip='2803:c600:411a:ced0:b9c2:6ef:1981:3ed1', port=49795) hacia addr(ip='2600:1901:1:a8::', port=443)
2024-11-07 20:41:26,421 - Conexión ESTABLISHED desde addr(ip='2803:c600:411a:ced0:b9c2:6ef:1981:3ed1', port=49795) hacia addr(ip='2600:1901:1:a8::', port=443)
2024-11-07 20:41:26,421 - Conexión ESTABLISHED desde addr(ip='2803:c600:411a:ced0:b9c2:6ef:1981:3ed1', port=49795) hacia addr(ip='2600:1901:1:a8::', port=443)
2024-11-07 20:41:26,421 - Conexión ESTABLISHED desde addr(ip='2803:c600:411a:ced0:b9c2:6ef:1981:3ed1', port=49795) hacia addr(ip='2600:1901:1:a8::', port=443)
2024-11-07 20:41:26,421 - Conexión ESTABLISHED desde addr(ip='2803:c600:411a:ced0:b9c2:6ef:1981:3ed1', port=49795) hacia addr(ip='2600:1901:1:a8::', port=443)
2024-11-07 20:41:26,421 - Conexión ESTABLISHED desde addr(ip='2803:c600:411a:ced0:b9c2:6ef:1981:3ed1', port=49795) hacia addr(ip='2600:1901:1:a8::', port=443)
2024-11-07 20:41:26,423 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54242) hacia addr(ip='192.168.1.6', port=8009)
2024-11-07 20:41:26,423 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54242) hacia addr(ip='192.168.1.6', port=8009)
2024-11-07 20:41:26,423 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54242) hacia addr(ip='192.168.1.6', port=8009)
2024-11-07 20:41:26,423 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54242) hacia addr(ip='192.168.1.6', port=8009)
2024-11-07 20:41:26,423 - Conexión ESTABLISHED desde addr(ip='192.168.1.9', port=54242) hacia addr(ip='192.168.1.6', port=8009)
